Country,Cluster,PC1,PC2,GDP,GDP_per_capita,GDP_growth,Population,Inflation,Current_Account,Gov_Debt,Gov_Revenue,Gov_Expenditure,Savings
India,0,-1.8554926671214482,-3.3286050081798724,6627.982,389527.135,6.504,1525.139,4.0,-1.855,76.874,20.607,27.239,30.537
Puerto Rico,0,-0.7324989437798448,0.16390215632268587,145.896,46060.069,0.8,3.168,2.064,-1.0598942307692307,18.882,19.546,19.699,22.404652173913043
Dominican Republic,0,-1.4136490275552103,-0.023363490801115206,183.123,1089071.396,4.979,11.339,3.961,-2.483,51.982,15.473,17.431,24.343
Denmark,1,1.8270422800250907,-1.7140506785800846,585.835,585893.968,1.54,6.227,2.0,11.194,30.41,49.897,50.442,34.032
Bosnia And Herzegovina,1,1.0008769268328215,0.09902307360534852,44.106,21911.095,3.0,3.394,2.028,-3.872,35.386,41.841,44.394,24.588
Emerging Market And Developing Economies,1,0.3602589888476251,-2.2654831698042135,65817.288,76763671.0876802,3.953,42.835142131979694,3.892,0.313,81.57,25.611,30.83,32.157
Advanced Economies,1,1.656967854874198,-1.727398202567531,83750.239,76763671.0876802,1.519,42.835142131979694,2.074,0.111,118.502,36.393,41.166,22.107
Kuwait,1,2.9101533019488297,-3.2741634900548977,190.176,10334.441,2.279,5.644,1.704,19.166,24.473,75.63,50.954,45.32
Seychelles,0,0.20761563899794677,0.9147676417208197,2.701,413978.785,3.48,0.106,3.0,-7.98,46.625,34.455,34.731,18.08
Angola,0,-1.2758715660364794,-0.8445059320108858,139.542,5891524.867,3.084,46.673,9.816,0.948,60.86,13.84,16.23,32.783
Mali,0,-0.8306007254615352,0.9129416367613508,37.414,718654.82,5.1,29.347,2.0,-4.527,46.253,23.343,26.343,13.147
Sri Lanka,0,-1.3198715959588474,-0.6071531164585816,98.964,1306613.463,5.009,22.882,1.242,1.764,100.84,13.682,19.32,28.722
Vanuatu,0,0.23579227321101204,0.4489545576842519,1.413,413858.04,2.329,0.423,2.213,-4.974,59.358,30.921,34.632,22.404652173913043
Nigeria,0,-2.0069148555459746,-0.21114945303371313,443.602,3323536.914,3.989,263.655,10.0,1.292,33.757,9.215,12.46,17.892
Tunisia,0,0.12970760290479988,1.800721446694632,63.864,20992.208,1.363,12.842,8.756,-4.145,91.572,27.374,35.145,5.248
Australia,0,0.5694807833148664,0.10182065864806222,2335.258,121216.866,2.298,29.462,2.498,-2.035,49.359,36.08,37.633,22.381
Côte D'Ivoire,0,-1.213433118490042,-0.596340353798688,155.669,2314675.298,6.8,37.877,2.0,-2.44,49.178,19.611,22.615,29.849
Lao People'S Democratic Republic,0,-1.193977507701268,0.09152933429759866,21.343,74666991.433,2.458,8.276,9.922,0.059,65.366,16.209,15.298,22.404652173913043
"Comoros, Union Of The",0,-1.3131413166411787,2.0818505442015236,2.253,941465.365,3.811,1.012,2.14,-2.203,35.038,18.063,19.066,-3.31
Colombia,0,-0.07478189048219115,0.7203552718635768,552.724,44475946.204,2.76,54.706,2.986,-3.6,60.867,29.474,31.645,15.708
Cameroon,0,-1.4903222971092935,0.25592631254609766,91.528,1502060.219,4.617,34.461,3.013,-3.572,30.625,15.255,16.484,20.9
Ghana,0,-1.3310995503556007,0.2776936259065059,135.908,68721.712,5.0,38.222,8.0,-0.076,47.581,17.1,19.613,17.42
Finland,1,2.2699912657877843,0.011580788777928442,381.547,58712.601,1.189,5.603,2.0,-0.321,94.171,53.301,56.693,24.433
"Marshall Islands, Republic Of The",1,4.213003893913199,-0.3166108908941356,0.408,12370.108,1.605,0.033,2.422,3.44,10.93,80.464,80.442,22.404652173913043
El Salvador,0,-0.11169192849248608,0.23533541627325935,46.246,7081.242,2.8,6.531,1.8,-1.376,79.493,28.144,29.743,21.684
Brazil,1,0.8941755047793053,0.40807123922223987,2814.461,78629.315,2.488,216.499,2.932,-1.749,98.068,40.062,44.687,14.65
"Korea, Republic Of",0,-0.36421433389689584,-1.2723094421513292,2271.152,60948487.739,1.938,51.311,2.0,4.715,64.288,23.536,24.573,34.031
Malawi,0,-0.9286936168457104,2.7030229386403963,31.325,2382363.017,3.387,27.727,14.564,-10.107,78.773,16.485,28.14,-2.175
Somalia,0,-2.164954451621547,0.7560482037879652,18.73,961.776,4.1,19.474,3.0,-10.101,60.21118932038836,5.411,7.403,22.404652173913043
